# (r)  (h(r))
0.0 96662.7546869
0.005 13437.1179041
0.01 4678.09516651
0.015 2278.80574641
0.02 1330.49445518
0.025 867.238075721
0.03 596.673898502
0.035 425.745910482
0.04 316.80168417
0.045 238.594338961
0.05 181.089225593
0.055 155.671295047
0.06 122.879370022
0.065 103.784634701
0.07 85.1617768661
0.075 68.2380477779
0.08 58.3106764914
0.085 46.1050225338
0.09 40.2140199587
0.095 34.6807000312
0.1 28.6511612565
0.105 23.862407185
0.11 20.6697010243
0.115 17.5502306218
0.12 16.7878728868
0.125 13.9093061422
0.13 12.4736355543
0.135 10.5525424488
0.14 9.16476191658
0.145 7.29879473278
0.15 6.7587149642
0.155 6.31461140367
0.16 5.29480230237
0.165 5.0560462551
0.17 4.23131475077
0.175 3.89450755597
0.18 3.60894167632
0.185 2.95564575644
0.19 2.71664383318
0.195 2.45466969681
0.2 2.33918945532
0.205 2.07043092054
0.21 1.90956039909
0.215 1.64214036471
0.22 1.41850263892
0.225 1.44498284149
0.23 1.10462683675
0.235 0.873755334902
0.24 0.942918587228
0.245 0.77859604937
0.25 0.772347661966
0.255 0.586904469821
0.26 0.587685853003
0.265 0.478098076076
0.27 0.465151861232
0.275 0.467674117067
0.28 0.321980333247
0.285 0.348163229235
0.29 0.335514255023
0.295 0.268426798795
0.3 0.244892703797
0.305 0.212036744928
0.31 0.217943373009
0.315 0.179380389977
0.32 0.172038913534
0.325 0.131842657052
0.33 0.143262824
0.335 0.10665652442
0.34 0.102857657789
0.345 0.103229662571
0.35 0.0918484592678
0.355 0.0741704241996
0.36 0.066518889926
0.365 0.0554364175215
0.37 0.0507928378798
0.375 0.0581309101999
0.38 0.0457672859183
0.385 0.0540320740417
0.39 0.0515046780784
0.395 0.038970331555
0.4 0.0327514427475
0.405 0.0347395022488
0.41 0.0270455733235
0.415 0.0195784693317
0.42 0.0253543832361
0.425 0.0198758141501
0.43 0.0213476207952
0.435 0.0162604237067
0.44 0.0134187544997
0.445 0.0124490455745
0.45 0.0115363547195
0.455 0.00958835246052
0.46 0.0102110454439
0.465 0.0104932595278
0.47 0.00820039447912
0.475 0.00693804696276
0.48 0.00847653768721
0.485 0.0044928701276
0.49 0.00374111114296
