# (r)  (h(r))
0.0 97331.9514866
0.005 13671.6938168
0.01 4787.09536109
0.015 2357.91295308
0.02 1377.52127056
0.025 915.1446803
0.03 614.115125368
0.035 434.217478982
0.04 334.004598563
0.045 258.168007091
0.05 193.678630272
0.055 154.888215637
0.06 127.72901987
0.065 107.03380755
0.07 87.9061351843
0.075 70.7853942064
0.08 58.2022406199
0.085 46.7975019441
0.09 41.1742634184
0.095 33.9934971993
0.1 28.7959290568
0.105 23.9904655662
0.11 20.9136431865
0.115 17.1174918201
0.12 17.4645174662
0.125 13.0141121657
0.13 12.0729207496
0.135 10.575599289
0.14 8.0959383396
0.145 7.41361766813
0.15 6.51097857833
0.155 6.10600184034
0.16 5.17153169195
0.165 4.82064752131
0.17 4.20702011281
0.175 3.55164306694
0.18 3.37830281495
0.185 2.83017153884
0.19 2.65466124622
0.195 2.19614946375
0.2 2.33795235043
0.205 1.75887792002
0.21 1.62545491402
0.215 1.43093787361
0.22 1.24443561858
0.225 1.16641569677
0.23 0.924267221098
0.235 0.764277496266
0.24 0.859393752122
0.245 0.740686885851
0.25 0.52775726954
0.255 0.512014442775
0.26 0.445177297138
0.265 0.424636315432
0.27 0.404946573322
0.275 0.321912642296
0.28 0.312912401894
0.285 0.282222342294
0.29 0.253251359975
0.295 0.252416319199
0.3 0.16487960135
0.305 0.167489617521
0.31 0.150533491542
0.315 0.150048899081
0.32 0.108510284842
0.325 0.100565516877
0.33 0.115352530407
0.335 0.0866222355995
0.34 0.077757366803
0.345 0.0768885139851
0.35 0.0539419827704
0.355 0.063828071033
0.36 0.0547744354511
0.365 0.0454408449543
0.37 0.0308363084945
0.375 0.0388804993772
0.38 0.0325508264328
0.385 0.0332245307659
0.39 0.0415628999941
0.395 0.0285454958236
0.4 0.0204799948461
0.405 0.017823986525
0.41 0.0171036491139
0.415 0.0133972760267
0.42 0.0175203838142
0.425 0.00930645638214
0.43 0.00930336252182
0.435 0.0103142547192
0.44 0.00787806427177
0.445 0.0109076566339
0.45 0.00613988167867
0.455 0.0067872633378
0.46 0.00493698671545
0.465 0.0043350420096
0.47 0.00211547291121
0.475 0.00476567352321
0.48 0.00671154854535
0.485 0.00518895435497
0.49 0.00657993428023
