# (x) (f(x)) (p(x)) (W(x,N)) (p(x,N))
-28.0 3 3e-05 3.31767846973e-05 4.44207944206e-05
-26.0 10 0.0001 0.000107824550266 0.000130805004972
-24.0 36 0.00036 0.000315179454624 0.000355564868088
-22.0 99 0.00099 0.000832974272935 0.000892215506492
-20.0 178 0.00178 0.00199913825504 0.00206669853541
-18.0 399 0.00399 0.00437311493291 0.0044191723332
-16.0 913 0.00913 0.00874622986582 0.00872290586339
-14.0 1556 0.01556 0.016034754754 0.0158941707677
-12.0 2713 0.02713 0.0270059027436 0.0267344347004
-10.0 4189 0.04189 0.0418591492526 0.0415107497421
-8.0 6008 0.06008 0.0597987846465 0.0594985786257
-6.0 7897 0.07897 0.0788256706704 0.0787243431714
-4.0 9553 0.09553 0.0959616860335 0.0961541298839
-2.0 10750 0.1075 0.107956896788 0.10841347871
0.0 11214 0.11214 0.112275172659 0.11283791671
2.0 10809 0.10809 0.107956896788 0.10841347871
4.0 9716 0.09716 0.0959616860335 0.0961541298839
6.0 7772 0.07772 0.0788256706704 0.0787243431714
8.0 5923 0.05923 0.0597987846465 0.0594985786257
10.0 4248 0.04248 0.0418591492526 0.0415107497421
12.0 2703 0.02703 0.0270059027436 0.0267344347004
14.0 1619 0.01619 0.016034754754 0.0158941707677
16.0 900 0.009 0.00874622986582 0.00872290586339
18.0 457 0.00457 0.00437311493291 0.0044191723332
20.0 189 0.00189 0.00199913825504 0.00206669853541
22.0 91 0.00091 0.000832974272935 0.000892215506492
24.0 37 0.00037 0.000315179454624 0.000355564868088
26.0 12 0.00012 0.000107824550266 0.000130805004972
28.0 6 6e-05 3.31767846973e-05 4.44207944206e-05
