# (x) (f(x)) (p(x)) (W(x,N)) (p(x,N))
-28.0 1 1e-05 3.31767846973e-05 4.44207944206e-05
-26.0 11 0.00011 0.000107824550266 0.000130805004972
-24.0 38 0.00038 0.000315179454624 0.000355564868088
-22.0 67 0.00067 0.000832974272935 0.000892215506492
-20.0 206 0.00206 0.00199913825504 0.00206669853541
-18.0 438 0.00438 0.00437311493291 0.0044191723332
-16.0 871 0.00871 0.00874622986582 0.00872290586339
-14.0 1592 0.01592 0.016034754754 0.0158941707677
-12.0 2756 0.02756 0.0270059027436 0.0267344347004
-10.0 4193 0.04193 0.0418591492526 0.0415107497421
-8.0 5885 0.05885 0.0597987846465 0.0594985786257
-6.0 7857 0.07857 0.0788256706704 0.0787243431714
-4.0 9621 0.09621 0.0959616860335 0.0961541298839
-2.0 10631 0.10631 0.107956896788 0.10841347871
0.0 11199 0.11199 0.112275172659 0.11283791671
2.0 11047 0.11047 0.107956896788 0.10841347871
4.0 9545 0.09545 0.0959616860335 0.0961541298839
6.0 7934 0.07934 0.0788256706704 0.0787243431714
8.0 5940 0.0594 0.0597987846465 0.0594985786257
10.0 4275 0.04275 0.0418591492526 0.0415107497421
12.0 2648 0.02648 0.0270059027436 0.0267344347004
14.0 1590 0.0159 0.016034754754 0.0158941707677
16.0 888 0.00888 0.00874622986582 0.00872290586339
18.0 421 0.00421 0.00437311493291 0.0044191723332
20.0 203 0.00203 0.00199913825504 0.00206669853541
22.0 99 0.00099 0.000832974272935 0.000892215506492
24.0 20 0.0002 0.000315179454624 0.000355564868088
26.0 18 0.00018 0.000107824550266 0.000130805004972
28.0 5 5e-05 3.31767846973e-05 4.44207944206e-05
30.0 1 1e-05 9.12361579175e-06 1.39253051947e-05
