# (x) (f(x)) (p(x)) (W(x,N)) (p(x,N))
-10.0 92 0.00092 0.0009765625 0.0017000733205
-8.0 1054 0.01054 0.009765625 0.0102848442527
-6.0 4360 0.0436 0.0439453125 0.0417071000726
-4.0 11485 0.11485 0.1171875 0.113371652245
-2.0 20662 0.20662 0.205078125 0.206576618987
0.0 24779 0.24779 0.24609375 0.252313252202
2.0 20619 0.20619 0.205078125 0.206576618987
4.0 11475 0.11475 0.1171875 0.113371652245
6.0 4412 0.04412 0.0439453125 0.0417071000726
8.0 965 0.00965 0.009765625 0.0102848442527
10.0 97 0.00097 0.0009765625 0.0017000733205
