# (x) (f(x)) (p(x)) (W(x,N)) (p(x,N))
-34.0 412 0.00412 0.000232471334743 0.000246443833695
-30.0 412 0.00412 0.000863855665742 0.000886369682388
-26.0 1236 0.01236 0.00269792760472 0.00271659384674
-22.0 411 0.00411 0.00711073226993 0.00709491856925
-20.0 1234 0.01234 0.0108438667116 0.0107981933026
-18.0 822 0.00822 0.0158690732365 0.0157900316602
-16.0 1647 0.01647 0.0222922695466 0.0221841669359
-14.0 822 0.00822 0.0300686426442 0.0299454931271
-12.0 2059 0.02059 0.0389525597891 0.0388372109966
-10.0 4529 0.04529 0.0484742966264 0.0483941449038
-8.0 6174 0.06174 0.0579583981403 0.0579383105523
-6.0 8229 0.08229 0.066590499991 0.0666449205784
-4.0 8230 0.0823 0.0735270104067 0.0736540280607
-2.0 11111 0.11111 0.0780286641051 0.0782085387951
0.0 10285 0.10285 0.0795892373872 0.0797884560803
2.0 8227 0.08227 0.0780286641051 0.0782085387951
4.0 4939 0.04939 0.0735270104067 0.0736540280607
6.0 9054 0.09054 0.066590499991 0.0666449205784
8.0 4526 0.04526 0.0579583981403 0.0579383105523
10.0 4939 0.04939 0.0484742966264 0.0483941449038
12.0 3293 0.03293 0.0389525597891 0.0388372109966
14.0 2057 0.02057 0.0300686426442 0.0299454931271
16.0 824 0.00824 0.0222922695466 0.0221841669359
18.0 823 0.00823 0.0158690732365 0.0157900316602
22.0 1234 0.01234 0.00711073226993 0.00709491856925
24.0 412 0.00412 0.00447287997624 0.00447890605897
26.0 823 0.00823 0.00269792760472 0.00271659384674
30.0 412 0.00412 0.000863855665742 0.000886369682388
32.0 412 0.00412 0.000458105277287 0.000476817640293
34.0 412 0.00412 0.000232471334743 0.000246443833695
