# (x) (f(x)) (p(x)) (W(x,N)) (p(x,N))
-40.0 1 1e-05 2.31706905801e-05 2.6766045153e-05
-38.0 1 1e-05 5.23209142132e-05 5.83893851583e-05
-36.0 8 8e-05 0.000112816971272 0.000122380386023
-34.0 21 0.00021 0.000232471334743 0.000246443833695
-32.0 52 0.00052 0.000458105277287 0.000476817640293
-30.0 70 0.0007 0.000863855665742 0.000886369682388
-28.0 152 0.00152 0.00155973939648 0.0015830903166
-26.0 256 0.00256 0.00269792760472 0.00271659384674
-24.0 453 0.00453 0.00447287997624 0.00447890605897
-22.0 729 0.00729 0.00711073226993 0.00709491856925
-20.0 1083 0.01083 0.0108438667116 0.0107981933026
-18.0 1612 0.01612 0.0158690732365 0.0157900316602
-16.0 2229 0.02229 0.0222922695466 0.0221841669359
-14.0 2995 0.02995 0.0300686426442 0.0299454931271
-12.0 3902 0.03902 0.0389525597891 0.0388372109966
-10.0 4803 0.04803 0.0484742966264 0.0483941449038
-8.0 5715 0.05715 0.0579583981403 0.0579383105523
-6.0 6613 0.06613 0.066590499991 0.0666449205784
-4.0 7414 0.07414 0.0735270104067 0.0736540280607
-2.0 7706 0.07706 0.0780286641051 0.0782085387951
0.0 7994 0.07994 0.0795892373872 0.0797884560803
2.0 7931 0.07931 0.0780286641051 0.0782085387951
4.0 7282 0.07282 0.0735270104067 0.0736540280607
6.0 6678 0.06678 0.066590499991 0.0666449205784
8.0 5802 0.05802 0.0579583981403 0.0579383105523
10.0 4846 0.04846 0.0484742966264 0.0483941449038
12.0 3929 0.03929 0.0389525597891 0.0388372109966
14.0 2995 0.02995 0.0300686426442 0.0299454931271
16.0 2230 0.0223 0.0222922695466 0.0221841669359
18.0 1599 0.01599 0.0158690732365 0.0157900316602
20.0 1093 0.01093 0.0108438667116 0.0107981933026
22.0 703 0.00703 0.00711073226993 0.00709491856925
24.0 460 0.0046 0.00447287997624 0.00447890605897
26.0 294 0.00294 0.00269792760472 0.00271659384674
28.0 168 0.00168 0.00155973939648 0.0015830903166
30.0 87 0.00087 0.000863855665742 0.000886369682388
32.0 48 0.00048 0.000458105277287 0.000476817640293
34.0 27 0.00027 0.000232471334743 0.000246443833695
36.0 10 0.0001 0.000112816971272 0.000122380386023
38.0 4 4e-05 5.23209142132e-05 5.83893851583e-05
40.0 2 2e-05 2.31706905801e-05 2.6766045153e-05
42.0 2 2e-05 9.79043263949e-06 1.17886135513e-05
46.0 1 1e-05 1.5125249816e-06 2.0281704131e-06
