# PDF FOR SAMPLED RESULTANT VECTORS:
# (R) (p(R)) (err) (fRay(R))
1.00509017169 0.000763007944271 8.32164352369e-05 0.0041252577706
2.10599614037 0.0114451191641 0.000320393560826 0.0172045854852
3.20690210905 0.0247977581888 0.000468082847038 0.036542448428
4.30780807773 0.0343353574922 0.000547810713386 0.0582431995693
5.40871404641 0.0629481554024 0.000729496847498 0.0782052668486
6.5096200151 0.0705782348451 0.000768950810263 0.0930430193117
7.61052598378 0.103006072477 0.000910798561317 0.100724600817
8.71143195246 0.112162167808 0.000944998611976 0.100792479192
9.81233792114 0.126659318749 0.000995030080611 0.0941772437802
10.9132438898 0.0965205049503 0.000885202126878 0.0827312888652
12.0141498585 0.0625575680023 0.000727398073262 0.0686623042684
13.1150558272 0.0556904965039 0.000689094365567 0.0540321089592
14.2159617959 0.0488325084334 0.000647861581179 0.0404252399255
15.3168677646 0.0408209250185 0.000595091582607 0.0288162621971
16.4177737332 0.0240347502446 0.000461024244887 0.0196034719221
17.5186797019 0.0164046708018 0.000382519248603 0.0127445081982
18.6195856706 0.00839308738699 0.000274835078528 0.00792657122305
19.7204916393 0.00495955163776 0.000211670041043 0.00472079294665
20.821397608 0.00190751986068 0.000131493747849 0.00269427858827
# SUMMARY STATISTICS:
# av(R) +- sErr(R) = 9.808344 +- 0.011586 

# TETS NULL HYPOTHESIS FOR SAMPLER: UnitSphere
# av(R) +- sErr(R) = 9.808344 +- 0.011586 
# R0 = 14.435360
# REJECT NULL HYPOTHESIS (SIGNIFICANCE LEVEL 0.10): False 
# TEST RESULT: OK
