# PDF FOR SAMPLED RESULTANT VECTORS:
# (R) (p(R)) (err) (fRay(R))
8.10219707545 0.00473862726837 0.00473862726837 0.015715451816
10.2125128766 0.00473862726837 0.00473862726837 0.022668510765
12.3228286777 0.0142158818051 0.00812421571728 0.0293051912
14.4331444788 0.0142158818051 0.00812421571728 0.0349092993571
16.5434602799 0.0236931363419 0.0103796272313 0.0389490518936
18.653776081 0.0236931363419 0.0103796272313 0.0411274862904
20.7640918821 0.0236931363419 0.0103796272313 0.0413912449297
22.8744076832 0.0142158818051 0.00812421571728 0.0399021015831
24.9847234843 0.0426476454153 0.0136294051873 0.0369818041696
27.0950392854 0.0236931363419 0.0103796272313 0.0330438778359
29.2053550865 0.0236931363419 0.0103796272313 0.0285258340293
31.3156708876 0.0142158818051 0.00812421571728 0.0238324249862
33.4259866887 0.0189545090735 0.00933255513054 0.0192963063217
35.5363024898 0.0331703908786 0.0121513756302 0.0151579545738
37.646618291 0.0473862726837 0.0142874987914 0.0115629320175
39.7569340921 0.0236931363419 0.0103796272313 0.00857217842642
41.8672498932 0.037909018147 0.0129203375249 0.00618006713172
43.9775656943 0.037909018147 0.0129203375249 0.00433525933573
46.0878814954 0.0142158818051 0.00812421571728 0.00296049329155
# SUMMARY STATISTICS:
# av(R) +- sErr(R) = 31.687298 +- 1.089658 

# TETS NULL HYPOTHESIS FOR SAMPLER: UnitSphere
# av(R) +- sErr(R) = 31.687298 +- 1.089658 
# R0 = 30.468435
# REJECT NULL HYPOTHESIS (SIGNIFICANCE LEVEL 0.20): True 
# TEST RESULT: FAILED
