# PDF FOR SAMPLED RESULTANT VECTORS:
# (R) (p(R)) (err) (fRay(R))
0.840565447123 0.00352670907534 0.000159093678156 0.00289842620498
2.22712722342 0.0196962014003 0.000371715801633 0.0190897334348
3.61368899973 0.0442605594997 0.000547379117163 0.0445095657111
5.00025077603 0.0710029669667 0.000679462850665 0.0712407934294
6.38681255233 0.0903169279151 0.00075485594256 0.0917187760379
7.77337432863 0.102050988581 0.000794897841054 0.10120574731
9.15993610493 0.0982790686496 0.000782441861876 0.0988139752941
10.5464978812 0.0865738563198 0.000741237541019 0.0869458505867
11.9330596575 0.0699572147869 0.000674982774865 0.069740675697
13.3196214338 0.0516529455983 0.000588088915921 0.0513887275939
14.7061832101 0.0348992744695 0.000489407090849 0.0349733301384
16.0927449864 0.0221266737079 0.000393300240718 0.0220699633429
17.4793067627 0.0128158732656 0.000301309801214 0.0129522566012
18.865868539 0.00727699275464 0.000227932569636 0.00708529088315
20.2524303153 0.00363489033532 0.000161503160896 0.00361923500543
21.6389920916 0.00185350558765 0.000115470413936 0.00172880626943
23.0255538679 0.000778905071854 7.49100660075e-05 0.00077313190106
24.4121156442 0.000317331695941 4.78292664473e-05 0.000324008778525
25.7986774205 0.000137029595974 3.14339158597e-05 0.000127351689164
# SUMMARY STATISTICS:
# av(R) +- sErr(R) = 9.211293 +- 0.012277 

# TETS NULL HYPOTHESIS FOR SAMPLER: UnitSphere
# av(R) +- sErr(R) = 9.211293 +- 0.012277 
# R0 = 16.139731
# REJECT NULL HYPOTHESIS (SIGNIFICANCE LEVEL 0.05): False 
# TEST RESULT: OK
